number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,1
Veterans with Only Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,6
Veterans with No Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Number of veterans not yet required to have an annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_start,12
Total Veterans,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,11
Total Veterans,veterans,2015-08-01,2015-08-31,Q25f,number_of_veterans_at_exit_leavers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,2
Veterans with Only Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,4
Veterans with Both Earned and Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,5
Veterans with No Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_start,14
Total Veterans,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2015-09-01,2015-09-30,Q25f,number_of_veterans_at_exit_leavers,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,4
Veterans with Only Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with No Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,4
Veterans with No Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_start,13
Total Veterans,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2015-10-01,2015-10-31,Q25f,number_of_veterans_at_exit_leavers,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,6
Veterans with Only Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Both Earned and Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,6
Veterans with No Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_start,16
Total Veterans,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Total Veterans,veterans,2015-11-01,2015-11-30,Q25f,number_of_veterans_at_exit_leavers,6
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,6
Veterans with Only Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Only Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,8
Veterans with No Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with No Income,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Number of veterans not yet required to have an annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2015-12-01,2015-12-31,Q25f,number_of_veterans_at_exit_leavers,0
