income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Retirement Income from Social Security,4,0,4,1,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Child Support,0,2,2,0,0,2,2,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Other source,2,0,2,1,0,1,1,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
No Sources,23,35,58,0.4,0,6,6,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Unduplicated Total Adults,51,45,96,NA,0,11,11,NA,0,0,0,NA,adults,2020-11-01,2020-11-30,Q19b
Earned Income,11,13,24,0.46,2,11,13,0.15,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Supplemental Security Income (SSI),22,0,22,1,3,0,3,1,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Social Security Disability Insurance (SSDI),18,0,18,1,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Temporary Assistance for Needy Families (TANF),2,2,4,0.5,0,1,1,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Retirement Income from Social Security,2,0,2,1,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Other source,6,1,7,0.86,0,0,0,0,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
No Sources,19,29,48,0.4,1,4,5,0.2,0,0,0,0,adults,2020-12-01,2020-12-31,Q19b
Unduplicated Total Adults,67,43,110,NA,6,15,21,NA,0,0,0,NA,adults,2020-12-01,2020-12-31,Q19b
Earned Income,11,18,29,0.38,2,4,6,0.33,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Supplemental Security Income (SSI),15,2,17,0.88,0,1,1,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1,0,2,2,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,2,2,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Retirement Income from Social Security,1,3,4,0.25,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Child Support,0,1,1,0,2,0,2,1,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Other source,3,0,3,1,0,0,0,0,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
No Sources,20,37,57,0.35,1,10,11,0.09,0,0,0,0,adults,2021-01-01,2021-01-31,Q19b
Unduplicated Total Adults,54,61,115,NA,3,18,21,NA,0,0,0,NA,adults,2021-01-01,2021-01-31,Q19b
Earned Income,13,12,25,0.52,0,3,3,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Supplemental Security Income (SSI),14,3,17,0.82,4,1,5,0.8,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Social Security Disability Insurance (SSDI),10,1,11,0.91,1,0,1,1,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Child Support,0,2,2,0,0,2,2,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Other source,3,0,3,1,0,0,0,0,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
No Sources,24,36,60,0.4,1,4,5,0.2,0,0,0,0,adults,2021-02-01,2021-02-28,Q19b
Unduplicated Total Adults,60,52,112,NA,6,9,15,NA,0,0,0,NA,adults,2021-02-01,2021-02-28,Q19b
Earned Income,12,9,21,0.57,0,5,5,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Supplemental Security Income (SSI),14,1,15,0.93,1,0,1,1,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Social Security Disability Insurance (SSDI),16,1,17,0.94,1,0,1,1,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
VA Service-Connected Disability Compensation,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1,0,1,1,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Retirement Income from Social Security,4,0,4,1,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Other source,4,2,6,0.67,0,0,0,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
No Sources,20,32,52,0.38,0,1,1,0,0,0,0,0,adults,2021-03-01,2021-03-31,Q19b
Unduplicated Total Adults,60,45,105,NA,2,6,8,NA,0,0,0,NA,adults,2021-03-01,2021-03-31,Q19b
Earned Income,15,12,27,0.56,0,3,3,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Supplemental Security Income (SSI),22,2,24,0.92,3,1,4,0.75,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Social Security Disability Insurance (SSDI),12,1,13,0.92,1,0,1,1,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,1,1,2,0.5,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Retirement Income from Social Security,3,1,5,0.6,0,1,1,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Child Support,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Other source,4,2,6,0.67,0,0,0,0,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
No Sources,19,35,54,0.35,1,4,5,0.2,0,0,0,0,adults,2021-04-01,2021-04-30,Q19b
Unduplicated Total Adults,63,50,113,NA,4,10,14,NA,0,0,0,NA,adults,2021-04-01,2021-04-30,Q19b
Earned Income,9,11,20,0.45,2,2,4,0.5,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Supplemental Security Income (SSI),13,1,14,0.93,1,1,2,0.5,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Social Security Disability Insurance (SSDI),10,0,10,1,1,0,1,1,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,1,1,2,0.5,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Retirement Income from Social Security,1,3,4,0.25,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Child Support,0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
Other source,1,3,4,0.25,0,0,0,0,0,0,0,0,adults,2021-05-01,2021-05-31,Q19b
No Sources,14,25,39,0.36,2,4,6,0.33,1,0,1,1,adults,2021-05-01,2021-05-31,Q19b
Unduplicated Total Adults,43,42,85,NA,6,7,13,NA,1,0,1,NA,adults,2021-05-01,2021-05-31,Q19b
Earned Income,9,15,24,0.38,3,5,8,0.38,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,2,1,3,0.67,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1,2,1,3,0.67,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
VA Service-Connected Disability Compensation,3,1,4,0.75,0,0,0,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,1,1,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Retirement Income from Social Security,2,0,3,0.67,0,0,0,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Child Support,0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Other source,3,0,3,1,1,0,1,1,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
No Sources,34,24,58,0.59,4,1,5,0.8,0,0,0,0,adults,2021-06-01,2021-06-30,Q19b
Unduplicated Total Adults,67,40,107,NA,13,8,21,NA,0,0,0,NA,adults,2021-06-01,2021-06-30,Q19b
Earned Income,11,9,20,0.55,0,6,6,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Supplemental Security Income (SSI),13,2,15,0.87,0,1,1,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Worker's Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Retirement Income from Social Security,3,2,6,0.5,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Other source,3,0,3,1,0,0,0,0,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
No Sources,13,13,26,0.5,1,11,12,0.08,0,0,0,0,adults,2021-07-01,2021-07-31,Q19b
Unduplicated Total Adults,44,24,68,NA,1,19,20,NA,0,0,0,NA,adults,2021-07-01,2021-07-31,Q19b
Earned Income,17,14,31,0.55,1,8,9,0.11,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Supplemental Security Income (SSI),16,2,18,0.89,1,1,2,0.5,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Social Security Disability Insurance (SSDI),17,0,17,1,1,0,1,1,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,2,2,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Retirement Income from Social Security,1,1,3,0.33,0,0,0,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Child Support,1,0,1,1,0,1,1,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Other source,3,0,3,1,0,1,1,0,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
No Sources,20,24,44,0.45,4,14,18,0.22,0,0,0,0,adults,2021-08-01,2021-08-31,Q19b
Unduplicated Total Adults,63,40,103,NA,7,23,30,NA,0,0,0,NA,adults,2021-08-01,2021-08-31,Q19b
Earned Income,13,18,31,0.42,2,4,6,0.33,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Supplemental Security Income (SSI),17,1,18,0.94,2,0,2,1,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Social Security Disability Insurance (SSDI),14,2,16,0.88,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Other source,2,3,5,0.4,0,0,0,0,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
No Sources,18,30,48,0.38,1,16,17,0.06,0,0,0,0,adults,2021-09-01,2021-09-30,Q19b
Unduplicated Total Adults,58,53,111,NA,4,21,25,NA,0,0,0,NA,adults,2021-09-01,2021-09-30,Q19b
Earned Income,17,17,34,0.5,2,3,5,0.4,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Supplemental Security Income (SSI),10,2,12,0.83,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Social Security Disability Insurance (SSDI),11,0,11,1,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
VA Service-Connected Disability Compensation,3,0,3,1,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,0,1,1,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Retirement Income from Social Security,0,2,2,0,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Other source,1,2,3,0.33,0,2,2,0,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
No Sources,12,31,43,0.28,1,15,16,0.06,0,0,0,0,adults,2021-10-01,2021-10-31,Q19b
Unduplicated Total Adults,45,52,97,NA,4,21,25,NA,0,0,0,NA,adults,2021-10-01,2021-10-31,Q19b
Earned Income,12,16,28,0.43,1,4,5,0.2,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Supplemental Security Income (SSI),12,0,12,1,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Social Security Disability Insurance (SSDI),14,0,14,1,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Other source,3,2,5,0.6,0,0,0,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
No Sources,18,30,48,0.38,0,6,6,0,0,0,0,0,adults,2021-11-01,2021-11-30,Q19b
Unduplicated Total Adults,52,48,100,NA,1,11,12,NA,0,0,0,NA,adults,2021-11-01,2021-11-30,Q19b
Earned Income,16,21,37,0.43,1,8,9,0.11,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Supplemental Security Income (SSI),27,2,29,0.93,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Social Security Disability Insurance (SSDI),20,1,21,0.95,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
VA Service-Connected Disability Compensation,3,0,3,1,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1,2,1,3,0.67,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Child Support,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Other source,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
No Sources,14,29,43,0.33,2,7,9,0.22,0,0,0,0,adults,2021-12-01,2021-12-31,Q19b
Unduplicated Total Adults,63,50,113,NA,5,15,20,NA,0,0,0,NA,adults,2021-12-01,2021-12-31,Q19b
Earned Income,18,24,42,0.43,2,8,10,0.2,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Supplemental Security Income (SSI),14,2,16,0.88,0,1,1,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Social Security Disability Insurance (SSDI),18,1,19,0.95,1,1,2,0.5,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,0,1,1,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Other source,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
No Sources,14,28,42,0.33,1,6,7,0.14,0,0,0,0,adults,2022-01-01,2022-01-31,Q19b
Unduplicated Total Adults,55,57,112,NA,3,16,19,NA,0,0,0,NA,adults,2022-01-01,2022-01-31,Q19b
Earned Income,9,12,21,0.43,0,9,9,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Supplemental Security Income (SSI),11,3,14,0.79,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Social Security Disability Insurance (SSDI),10,2,12,0.83,0,1,1,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Retirement Income from Social Security,1,0,2,0.5,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Child Support,0,1,1,0,0,1,1,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Other source,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
No Sources,12,22,34,0.35,1,9,10,0.1,0,0,0,0,adults,2022-02-01,2022-02-28,Q19b
Unduplicated Total Adults,38,37,75,NA,1,19,20,NA,0,0,0,NA,adults,2022-02-01,2022-02-28,Q19b
Earned Income,13,12,25,0.52,1,12,13,0.08,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Supplemental Security Income (SSI),16,2,18,0.89,0,1,1,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Social Security Disability Insurance (SSDI),13,1,14,0.93,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1,1,1,2,0.5,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Retirement Income from Social Security,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Other source,0,1,1,0,0,0,0,0,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
No Sources,16,33,49,0.33,1,14,15,0.07,0,0,0,0,adults,2022-03-01,2022-03-31,Q19b
Unduplicated Total Adults,53,49,102,NA,3,27,30,NA,0,0,0,NA,adults,2022-03-01,2022-03-31,Q19b
Earned Income,13,26,39,0.33,6,8,14,0.43,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Supplemental Security Income (SSI),20,3,23,0.87,2,2,4,0.5,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Social Security Disability Insurance (SSDI),14,1,15,0.93,2,0,2,1,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Retirement Income from Social Security,6,0,6,1,1,0,1,1,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Child Support,0,1,1,0,0,2,2,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Other source,3,0,3,1,0,0,0,0,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
No Sources,20,20,40,0.5,1,8,9,0.11,0,0,0,0,adults,2022-04-01,2022-04-30,Q19b
Unduplicated Total Adults,62,49,111,NA,10,17,27,NA,0,0,0,NA,adults,2022-04-01,2022-04-30,Q19b
Earned Income,14,16,30,0.47,3,9,12,0.25,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
Supplemental Security Income (SSI),17,1,18,0.94,2,0,2,1,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
Social Security Disability Insurance (SSDI),11,0,11,1,1,0,1,1,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
Temporary Assistance for Needy Families (TANF),2,3,5,0.4,0,1,1,0,0,0,0,0,adults,2022-05-01,2022-05-31,Q19b
